epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,613.62,1.15898,1.08742,1.29089,0.91019,0.733,0.77472,0.51696,1.49905,1.36443,1.50095,0.00592955,0.00592955,0.00592955
43,631.119,1.18711,1.06623,1.33603,0.79718,0.77036,0.79805,0.54633,1.44766,1.39711,1.48561,0.0058378,0.0058378,0.0058378
44,649.559,1.14276,1.09126,1.29996,0.85331,0.70901,0.76114,0.53817,1.40808,1.33352,1.44817,0.00574482,0.00574482,0.00574482
45,667.478,1.15494,1.09537,1.29458,0.90383,0.78703,0.81769,0.55861,1.45499,1.16818,1.46028,0.00565068,0.00565068,0.00565068
46,688.034,1.17351,1.04194,1.3248,0.88063,0.7967,0.83074,0.59909,1.41189,1.15753,1.43914,0.00555543,0.00555543,0.00555543
47,713.877,1.14387,1.06772,1.29033,0.94088,0.78907,0.83342,0.59306,1.39319,1.17626,1.44553,0.00545914,0.00545914,0.00545914
48,731.56,1.17401,1.06138,1.28929,0.89186,0.79762,0.83703,0.58238,1.41957,1.25354,1.46722,0.00536188,0.00536188,0.00536188
49,750.1,1.10436,0.99442,1.26761,0.88057,0.74595,0.79776,0.5424,1.53189,1.32911,1.54191,0.00526371,0.00526371,0.00526371
50,769.718,1.15823,1.01345,1.32088,0.89811,0.82361,0.85099,0.59737,1.39602,1.15519,1.42373,0.0051647,0.0051647,0.0051647
51,788.361,1.09529,0.96333,1.24449,0.89509,0.78279,0.81436,0.57528,1.38408,1.19043,1.4414,0.00506492,0.00506492,0.00506492
52,810.305,1.1339,0.97675,1.28837,0.92964,0.78416,0.84897,0.59986,1.47163,1.15953,1.47704,0.00496444,0.00496444,0.00496444
53,831.324,1.15789,1.01795,1.30071,0.9104,0.74524,0.80685,0.57521,1.43418,1.29019,1.49611,0.00486333,0.00486333,0.00486333
54,856.898,1.08457,0.98522,1.26464,0.91424,0.82244,0.85003,0.62224,1.43702,1.21652,1.46726,0.00476165,0.00476165,0.00476165
55,877.537,1.11145,0.9665,1.27051,0.90845,0.81285,0.8515,0.59177,1.47338,1.17261,1.47445,0.00465948,0.00465948,0.00465948
56,901.894,1.112,0.9755,1.24503,0.91272,0.82347,0.85258,0.62591,1.36243,1.15366,1.4244,0.00455688,0.00455688,0.00455688
57,924.29,1.0689,0.88236,1.21995,0.90078,0.81299,0.8547,0.62486,1.34867,1.15374,1.43687,0.00445393,0.00445393,0.00445393
58,943.884,1.08245,0.92918,1.27964,0.93075,0.76974,0.83793,0.60441,1.37681,1.17832,1.42368,0.0043507,0.0043507,0.0043507
59,964.138,1.05265,0.90476,1.23584,0.87865,0.79063,0.83398,0.59981,1.40195,1.21755,1.42824,0.00424725,0.00424725,0.00424725
60,982.686,1.09541,1.00813,1.27641,0.91152,0.79826,0.84477,0.60688,1.3703,1.1394,1.43333,0.00414366,0.00414366,0.00414366
61,1012.23,1.07965,0.90279,1.23915,0.93925,0.79243,0.84711,0.61282,1.34697,1.14611,1.39686,0.00404,0.00404,0.00404
62,1028.96,1.0176,0.88049,1.19995,0.91973,0.79099,0.84156,0.60931,1.39389,1.18647,1.43767,0.00393634,0.00393634,0.00393634
63,1048.55,1.03864,0.82821,1.19426,0.93457,0.8049,0.83812,0.59326,1.40441,1.15125,1.44391,0.00383275,0.00383275,0.00383275
64,1065.38,1.02576,0.85213,1.19597,0.97794,0.79033,0.84958,0.60946,1.36248,1.13572,1.42713,0.0037293,0.0037293,0.0037293
65,1085.52,1.02385,0.85609,1.20922,0.92646,0.81122,0.86255,0.60635,1.40014,1.09382,1.44314,0.00362607,0.00362607,0.00362607
66,1104.24,1.0327,0.85193,1.21996,0.93743,0.78788,0.84274,0.60908,1.36262,1.12267,1.41083,0.00352312,0.00352312,0.00352312
67,1134.63,1.01267,0.8254,1.20501,0.93735,0.7904,0.83767,0.61136,1.35015,1.17579,1.40341,0.00342052,0.00342052,0.00342052
68,1153.31,0.98869,0.80587,1.18695,0.89365,0.82388,0.84434,0.60995,1.35509,1.15996,1.42617,0.00331835,0.00331835,0.00331835
69,1174.23,1.04832,0.81962,1.20833,0.93773,0.81984,0.85401,0.63453,1.32707,1.11812,1.39355,0.00321667,0.00321667,0.00321667
70,1192.83,1.02193,0.83982,1.21287,0.91183,0.7983,0.84403,0.63164,1.35217,1.10887,1.41669,0.00311556,0.00311556,0.00311556
71,1214.45,1.01821,0.84691,1.20777,0.92878,0.80229,0.84262,0.62589,1.33954,1.13919,1.42823,0.00301508,0.00301508,0.00301508
72,1233.69,0.97671,0.80823,1.16603,0.93864,0.81199,0.85956,0.63781,1.34551,1.11701,1.42452,0.0029153,0.0029153,0.0029153
73,1251.42,0.93421,0.79007,1.1718,0.93588,0.79071,0.84324,0.6122,1.37382,1.20373,1.44154,0.00281629,0.00281629,0.00281629
74,1280.81,0.94682,0.79599,1.16734,0.90857,0.80354,0.83939,0.61665,1.36323,1.16646,1.43771,0.00271812,0.00271812,0.00271812
75,1301.29,0.96097,0.80634,1.17479,0.94433,0.7761,0.83148,0.61502,1.32713,1.15381,1.41668,0.00262086,0.00262086,0.00262086
76,1320.76,0.93436,0.74554,1.14971,0.86529,0.80458,0.82299,0.61855,1.35862,1.24134,1.43634,0.00252457,0.00252457,0.00252457
77,1339.04,0.96281,0.77966,1.18027,0.95043,0.79503,0.84855,0.61422,1.39124,1.17853,1.44296,0.00242932,0.00242932,0.00242932
78,1360.09,0.93449,0.73915,1.12626,0.93675,0.80155,0.84997,0.6214,1.35237,1.10611,1.41724,0.00233518,0.00233518,0.00233518
79,1378.9,0.93088,0.73226,1.14302,0.92909,0.81148,0.85562,0.63405,1.35066,1.10164,1.42532,0.0022422,0.0022422,0.0022422
80,1398.45,0.9218,0.74251,1.13977,0.93438,0.83521,0.86845,0.63455,1.37489,1.09104,1.46215,0.00215045,0.00215045,0.00215045
81,1428.77,0.90862,0.72608,1.13951,0.92917,0.80677,0.85242,0.61802,1.36748,1.13749,1.452,0.00206,0.00206,0.00206
82,1450.59,0.91239,0.70382,1.12669,0.89337,0.82672,0.85241,0.63543,1.32232,1.10916,1.42175,0.00197091,0.00197091,0.00197091
83,1472.46,0.92866,0.72272,1.13959,0.93217,0.8214,0.85697,0.63385,1.3373,1.10937,1.42288,0.00188323,0.00188323,0.00188323
84,1492.24,0.89195,0.72218,1.11773,0.94333,0.82335,0.86172,0.63761,1.37644,1.09522,1.43968,0.00179703,0.00179703,0.00179703
85,1514.48,0.90994,0.71101,1.13307,0.91049,0.8355,0.86618,0.62756,1.34077,1.09547,1.40856,0.00171237,0.00171237,0.00171237
86,1532.31,0.87523,0.68547,1.11593,0.87434,0.83607,0.84752,0.62948,1.36326,1.13588,1.42225,0.0016293,0.0016293,0.0016293
87,1551.91,0.88576,0.70309,1.09952,0.87246,0.83973,0.86891,0.63457,1.34227,1.06691,1.40368,0.00154789,0.00154789,0.00154789
88,1581.96,0.89149,0.71019,1.10522,0.97306,0.83734,0.87507,0.63653,1.29328,1.08654,1.38385,0.00146819,0.00146819,0.00146819
89,1603.05,0.89024,0.68979,1.1206,0.93741,0.80774,0.86924,0.64453,1.28544,1.08626,1.38933,0.00139024,0.00139024,0.00139024
90,1623.87,0.86692,0.66411,1.10858,0.95736,0.79755,0.85746,0.63319,1.34212,1.10932,1.40896,0.00131412,0.00131412,0.00131412
91,1644.59,0.86159,0.67501,1.09255,0.94953,0.82923,0.8703,0.64367,1.32051,1.07313,1.40569,0.00123986,0.00123986,0.00123986
92,1668.13,0.86481,0.6391,1.09121,0.91748,0.81326,0.86173,0.63488,1.32158,1.09498,1.4081,0.00116752,0.00116752,0.00116752
93,1687.48,0.88862,0.66903,1.1112,0.95865,0.77449,0.84464,0.62877,1.35446,1.18426,1.41614,0.00109715,0.00109715,0.00109715
94,1709.84,0.88062,0.66341,1.08905,0.93764,0.81157,0.85853,0.6408,1.3401,1.08591,1.39593,0.00102879,0.00102879,0.00102879
95,1740.72,0.8587,0.64458,1.11228,0.95728,0.81028,0.86164,0.641,1.33663,1.06139,1.39735,0.000962502,0.000962502,0.000962502
96,1765.16,0.83052,0.66897,1.07677,0.95575,0.81747,0.86666,0.63861,1.32071,1.09967,1.3908,0.000898321,0.000898321,0.000898321
97,1785.78,0.87261,0.6532,1.10518,0.97173,0.82409,0.87349,0.6473,1.31489,1.0721,1.3803,0.000836293,0.000836293,0.000836293
98,1805.25,0.85122,0.65383,1.11247,0.95497,0.81755,0.87082,0.64387,1.33428,1.08787,1.38819,0.00077646,0.00077646,0.00077646
99,1826.13,0.85167,0.64828,1.10822,0.93889,0.84497,0.87499,0.64416,1.33737,1.09054,1.39622,0.000718865,0.000718865,0.000718865
100,1846.58,0.79645,0.64117,1.06894,0.95004,0.82475,0.87329,0.65044,1.32412,1.07654,1.39392,0.000663545,0.000663545,0.000663545
101,1864.78,0.81112,0.64428,1.08879,0.97024,0.80947,0.87043,0.64865,1.32637,1.08807,1.39389,0.000610539,0.000610539,0.000610539
102,1896.54,0.8248,0.64185,1.08774,0.97264,0.80425,0.87184,0.64848,1.32923,1.07992,1.40439,0.000559884,0.000559884,0.000559884
103,1920.52,0.80782,0.61712,1.07439,0.96387,0.80424,0.87028,0.64621,1.32216,1.0741,1.41265,0.000511614,0.000511614,0.000511614
104,1942.84,0.81675,0.6142,1.08269,0.95964,0.81437,0.86504,0.6478,1.33589,1.07646,1.41423,0.000465762,0.000465762,0.000465762
105,1964.61,0.79303,0.60134,1.06216,0.96158,0.80492,0.86618,0.64834,1.33428,1.08616,1.42128,0.00042236,0.00042236,0.00042236
106,1986.37,0.85082,0.66057,1.10464,0.96418,0.81305,0.87014,0.65066,1.35663,1.06874,1.42823,0.000381437,0.000381437,0.000381437
107,2009.87,0.79915,0.61947,1.07506,0.9324,0.84482,0.87305,0.65216,1.34719,1.06653,1.43176,0.000343022,0.000343022,0.000343022
108,2030.35,0.80597,0.59389,1.05454,0.95756,0.81368,0.87118,0.64716,1.34428,1.07624,1.43682,0.00030714,0.00030714,0.00030714
109,2062.8,0.8122,0.62049,1.06657,0.95961,0.81178,0.86745,0.64228,1.34155,1.08465,1.43394,0.000273816,0.000273816,0.000273816
110,2082.14,0.80924,0.60365,1.07557,0.95437,0.8041,0.86715,0.64092,1.37055,1.07869,1.43737,0.000243074,0.000243074,0.000243074
111,2108.74,0.76278,0.55635,1.0465,0.94349,0.80581,0.86081,0.63173,1.36148,1.0647,1.43168,0.000214934,0.000214934,0.000214934
112,2131.31,0.74464,0.54954,1.02973,0.9528,0.79876,0.86748,0.64074,1.35225,1.04477,1.42735,0.000189415,0.000189415,0.000189415
113,2151.34,0.75411,0.5577,1.04083,0.93664,0.82298,0.86778,0.64376,1.35129,1.05444,1.42852,0.000166536,0.000166536,0.000166536
114,2169.79,0.75912,0.54144,1.04646,0.97782,0.79616,0.86689,0.64095,1.35256,1.06386,1.42912,0.000146311,0.000146311,0.000146311
115,2204.02,0.74064,0.54746,1.0293,0.95791,0.80238,0.86782,0.64433,1.35623,1.07524,1.43438,0.000128754,0.000128754,0.000128754
116,2223.23,0.75125,0.55212,1.03913,0.97283,0.80281,0.86747,0.64031,1.36298,1.07645,1.43623,0.000113878,0.000113878,0.000113878
117,2243.4,0.75357,0.54415,1.03141,0.96661,0.80924,0.86764,0.6397,1.36536,1.07301,1.43828,0.000101693,0.000101693,0.000101693
118,2263.61,0.74508,0.54596,1.03237,0.96444,0.80932,0.86651,0.63788,1.36783,1.08029,1.43633,9.22074e-05,9.22074e-05,9.22074e-05
119,2285.16,0.75774,0.55022,1.05702,0.96349,0.80674,0.86482,0.63734,1.3655,1.08526,1.43173,8.5427e-05,8.5427e-05,8.5427e-05
120,2305.28,0.73764,0.53641,1.03055,0.96534,0.80972,0.86594,0.63814,1.36422,1.08685,1.43304,8.1357e-05,8.1357e-05,8.1357e-05
