epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.309,1.45683,5.01021,1.59488,0.00749,0.44315,0.13642,0.10398,1.50005,4.58054,1.53692,0.00327044,0.00327044,0.070566
2,38.8697,1.36557,3.79852,1.53151,0.88385,0.18,0.35046,0.20575,1.79367,3.92149,1.82822,0.00660125,0.00660125,0.0405635
3,58.8758,1.52654,3.76542,1.66889,0.22698,0.243,0.24193,0.13473,2.01242,3.64746,2.03854,0.00992194,0.00992194,0.0105509
4,74.9789,1.46894,3.42245,1.57952,0.45448,0.24079,0.28074,0.15006,1.85806,3.56856,1.90956,0.00996569,0.00996569,0.00996569
5,94.3576,1.49063,3.26809,1.62609,0.31691,0.09064,0.07186,0.03248,2.35401,3.84126,2.44535,0.00993906,0.00993906,0.00993906
6,109.505,1.50643,2.90021,1.60845,0.48955,0.5984,0.52039,0.28337,1.81714,3.19663,1.87709,0.00990489,0.00990489,0.00990489
7,123.154,1.51304,2.90129,1.63437,0.58952,0.32272,0.35486,0.22778,1.91081,2.6361,2.05012,0.00986323,0.00986323,0.00986323
8,137.937,1.51942,2.73437,1.61161,0.56269,0.33188,0.27927,0.16507,2.01698,2.7708,2.16128,0.00981415,0.00981415,0.00981415
9,152.582,1.51189,2.61415,1.64181,0.42241,0.40211,0.38711,0.21069,2.01466,2.47829,2.11072,0.00975773,0.00975773,0.00975773
10,170.128,1.48335,2.41525,1.58365,0.55634,0.67276,0.57239,0.32211,1.73562,2.42366,1.8268,0.00969405,0.00969405,0.00969405
11,187.656,1.4344,2.20266,1.57232,0.56537,0.65724,0.61442,0.34343,1.68197,2.22225,1.80638,0.0096232,0.0096232,0.0096232
12,202.891,1.46149,2.18649,1.56121,0.62543,0.64349,0.60083,0.36184,1.58394,2.19379,1.66462,0.00954531,0.00954531,0.00954531
13,218.472,1.52614,2.26161,1.62805,0.64668,0.56118,0.60999,0.36589,1.72918,2.1731,1.73075,0.00946048,0.00946048,0.00946048
14,232.405,1.42301,1.91104,1.52877,0.74405,0.6107,0.65563,0.39191,1.64074,2.02091,1.6722,0.00936886,0.00936886,0.00936886
15,246.011,1.44333,1.96325,1.57348,0.67466,0.69425,0.69091,0.42931,1.61647,1.87362,1.65688,0.00927057,0.00927057,0.00927057
16,263.535,1.37139,1.81425,1.50308,0.18647,0.25756,0.1572,0.08186,2.41189,4.51221,2.83738,0.00916577,0.00916577,0.00916577
17,278.45,1.37292,1.8393,1.50662,0.68602,0.66319,0.64393,0.40111,1.58468,1.7374,1.60908,0.00905463,0.00905463,0.00905463
18,294.183,1.41832,1.79963,1.52929,0.57387,0.60072,0.55394,0.34217,1.73763,2.10644,1.72795,0.00893732,0.00893732,0.00893732
19,308.593,1.36605,1.72844,1.48898,0.74059,0.60149,0.66424,0.44303,1.50883,1.76526,1.55247,0.00881401,0.00881401,0.00881401
20,323.041,1.37574,1.6147,1.44823,0.69653,0.70356,0.6635,0.43582,1.54394,1.67073,1.59929,0.0086849,0.0086849,0.0086849
21,337.397,1.41565,1.63843,1.49874,0.68425,0.64663,0.6706,0.42484,1.58731,1.76161,1.66017,0.00855018,0.00855018,0.00855018
22,352.512,1.39081,1.67033,1.50385,0.82204,0.61133,0.67081,0.44111,1.52956,1.70022,1.62953,0.00841006,0.00841006,0.00841006
23,371.211,1.33626,1.60039,1.46503,0.72978,0.64762,0.68338,0.43557,1.59462,1.64805,1.63874,0.00826477,0.00826477,0.00826477
24,385.875,1.31734,1.45972,1.42944,0.68822,0.74928,0.75347,0.49504,1.50543,1.53555,1.57634,0.00811452,0.00811452,0.00811452
25,399.676,1.30716,1.43041,1.44848,0.63067,0.70328,0.70331,0.45906,1.55843,1.62325,1.62982,0.00795954,0.00795954,0.00795954
26,413.471,1.34286,1.4646,1.44175,0.71647,0.5713,0.64567,0.4129,1.6725,1.8204,1.69507,0.00780007,0.00780007,0.00780007
27,426.839,1.26972,1.40984,1.43892,0.78464,0.76508,0.79217,0.54506,1.41489,1.42028,1.51804,0.00763637,0.00763637,0.00763637
