epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,514.597,0.82639,0.68477,1.1868,0.59064,0.55841,0.57139,0.34207,1.90724,1.98832,2.2283,0.00820525,0.00820525,0.00820525
44,526.617,0.81859,0.70134,1.19515,0.47103,0.59534,0.54198,0.33843,1.88062,1.96399,2.24632,0.00812468,0.00812468,0.00812468
45,539.159,0.79461,0.68301,1.17752,0.55056,0.55853,0.576,0.3314,1.90987,2.13029,2.17943,0.00804277,0.00804277,0.00804277
46,549.807,0.77351,0.65945,1.14679,0.81956,0.53081,0.58896,0.35128,1.88435,2.06342,2.20482,0.00795954,0.00795954,0.00795954
47,561.977,0.76537,0.64929,1.14024,0.66146,0.54231,0.58955,0.34849,1.87116,2.08925,2.18569,0.00787503,0.00787503,0.00787503
48,572.89,0.71526,0.59943,1.11266,0.75628,0.52893,0.59093,0.34527,1.93271,2.06818,2.20779,0.00778929,0.00778929,0.00778929
49,585.38,0.72667,0.59793,1.12393,0.80488,0.5147,0.60029,0.34899,1.88095,2.02588,2.26207,0.00770234,0.00770234,0.00770234
50,597.687,0.70165,0.57673,1.09435,0.62785,0.54083,0.58825,0.3352,1.94527,1.93216,2.3216,0.00761423,0.00761423,0.00761423
51,608.218,0.68915,0.56693,1.07968,0.5841,0.54567,0.55731,0.33384,1.93892,2.17827,2.24555,0.007525,0.007525,0.007525
52,620.787,0.66932,0.56792,1.07731,0.81755,0.50451,0.57733,0.33511,1.91521,2.04588,2.27926,0.00743468,0.00743468,0.00743468
53,633.446,0.65006,0.55822,1.06037,0.52908,0.58887,0.55551,0.34707,1.86312,1.87779,2.19189,0.00734332,0.00734332,0.00734332
54,645.701,0.62053,0.5361,1.04061,0.69561,0.56034,0.59727,0.34095,1.90011,2.0685,2.25467,0.00725094,0.00725094,0.00725094
55,655.963,0.62378,0.52856,1.04143,0.79379,0.52381,0.59376,0.34939,1.89797,2.07353,2.28187,0.00715761,0.00715761,0.00715761
56,668.526,0.59231,0.50234,1.02148,0.8056,0.521,0.60902,0.36202,1.95045,1.87049,2.33395,0.00706335,0.00706335,0.00706335
57,680.626,0.58799,0.49647,1.01678,0.58499,0.55077,0.57276,0.3415,1.91006,2.12062,2.39245,0.0069682,0.0069682,0.0069682
58,691.209,0.57004,0.48772,1.00747,0.64417,0.57425,0.58886,0.34243,1.90196,1.93764,2.3807,0.00687222,0.00687222,0.00687222
59,703.549,0.56211,0.47724,1.00736,0.60877,0.55007,0.552,0.33664,1.87033,2.16845,2.28923,0.00677543,0.00677543,0.00677543
60,714.283,0.54418,0.47035,1.00342,0.58099,0.58994,0.59086,0.35663,1.8731,2.07231,2.32401,0.00667789,0.00667789,0.00667789
61,726.512,0.53683,0.46377,0.99405,0.66879,0.59325,0.60819,0.3661,1.86913,2.04847,2.30794,0.00657963,0.00657963,0.00657963
62,740.563,0.5252,0.4555,0.9917,0.67936,0.5588,0.58121,0.34113,1.85133,2.13597,2.31943,0.00648071,0.00648071,0.00648071
