epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7386,1.49198,3.82833,1.54306,5e-05,0.08,0.00013,2e-05,1.75017,4.48197,1.66868,0.00032381,0.00032381,0.0679429
2,27.6342,1.42876,2.3489,1.57322,0.18813,0.34762,0.22712,0.17788,1.47508,4.20768,1.59987,0.000656892,0.000656892,0.0349426
3,39.7727,1.49728,2.05878,1.60992,0.15574,0.73715,0.44804,0.2569,1.57039,3.84989,1.78592,0.000988965,0.000988965,0.00194135
4,51.9099,1.47618,1.876,1.61028,0.58774,0.46876,0.45111,0.2738,1.67089,2.88141,1.87258,0.000996569,0.000996569,0.000996569
5,64.302,1.41592,1.75834,1.52267,0.35281,0.47577,0.30932,0.16909,1.60522,13.3922,1.85671,0.000993906,0.000993906,0.000993906
6,74.3069,1.45773,1.76375,1.58671,0.45867,0.48791,0.52163,0.31939,1.45986,1.8249,1.68851,0.000990489,0.000990489,0.000990489
7,88.1664,1.43499,1.69154,1.58944,0.50461,0.58953,0.54954,0.34895,1.47208,1.72494,1.695,0.000986323,0.000986323,0.000986323
8,99.1417,1.40521,1.5968,1.56643,0.54728,0.7874,0.64484,0.41246,1.49532,1.58624,1.70757,0.000981415,0.000981415,0.000981415
9,110.022,1.4099,1.58923,1.55773,0.63259,0.65188,0.66403,0.42998,1.51903,1.81416,1.71519,0.000975773,0.000975773,0.000975773
10,121.632,1.4045,1.48759,1.5365,0.6939,0.64305,0.64664,0.42948,1.37947,1.49513,1.60715,0.000969405,0.000969405,0.000969405
11,132.526,1.38398,1.52361,1.52127,0.6613,0.69327,0.68087,0.41598,1.43773,1.52889,1.66501,0.00096232,0.00096232,0.00096232
12,143.265,1.37557,1.50835,1.49169,0.56556,0.71641,0.66589,0.42842,1.39965,1.4909,1.59266,0.000954531,0.000954531,0.000954531
13,158.716,1.33369,1.4963,1.4895,0.77623,0.63751,0.68801,0.43874,1.39364,1.46776,1.58979,0.000946048,0.000946048,0.000946048
14,168.976,1.37492,1.47928,1.51806,0.76131,0.61556,0.68183,0.4664,1.41341,1.39226,1.58209,0.000936886,0.000936886,0.000936886
