epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,614.032,1.0051,0.98293,1.28982,0.90226,0.84482,0.84715,0.63402,1.33285,1.14949,1.55595,0.00014567,0.00014567,0.00014567
43,626.964,1.02922,0.98897,1.29963,0.90984,0.80111,0.83691,0.64051,1.2963,1.15976,1.5266,0.000139849,0.000139849,0.000139849
44,641.297,0.99951,0.93279,1.26149,0.94905,0.8257,0.84975,0.63881,1.30032,1.11049,1.52799,0.000134046,0.000134046,0.000134046
45,654.263,1.00922,1.00795,1.28304,0.91734,0.85385,0.85596,0.6563,1.31072,1.11142,1.52329,0.000128269,0.000128269,0.000128269
46,669.089,0.98956,0.92305,1.28986,0.90365,0.84945,0.85321,0.65453,1.31878,1.11472,1.52791,0.000122529,0.000122529,0.000122529
47,686.283,1.01067,0.95117,1.30325,0.92277,0.82589,0.84264,0.62353,1.36522,1.15785,1.57323,0.000116833,0.000116833,0.000116833
48,700.045,0.98389,0.9257,1.25412,0.94195,0.80682,0.85242,0.62745,1.35714,1.13714,1.55796,0.000111191,0.000111191,0.000111191
49,713.768,1.01585,0.99348,1.30246,0.91198,0.81996,0.84361,0.63455,1.34408,1.168,1.54228,0.000105611,0.000105611,0.000105611
50,727.359,0.97349,0.90831,1.22982,0.95052,0.80677,0.84797,0.63209,1.34286,1.15516,1.54845,0.000100102,0.000100102,0.000100102
51,740.872,0.97527,0.90161,1.27781,0.9292,0.82742,0.85179,0.63996,1.36416,1.13343,1.55559,9.46715e-05,9.46715e-05,9.46715e-05
52,759.038,0.97246,0.94671,1.28258,0.90479,0.82166,0.85246,0.63943,1.38745,1.12193,1.58807,8.9329e-05,8.9329e-05,8.9329e-05
53,772.099,0.93688,0.88422,1.21191,0.94764,0.82599,0.84674,0.64671,1.32866,1.14127,1.55748,8.40824e-05,8.40824e-05,8.40824e-05
54,785.591,0.98015,0.94076,1.26019,0.94959,0.79436,0.8587,0.65168,1.34185,1.14266,1.54637,7.89397e-05,7.89397e-05,7.89397e-05
55,799.862,0.95021,0.90112,1.24903,0.95082,0.8092,0.85556,0.65798,1.30911,1.16386,1.5202,7.3909e-05,7.3909e-05,7.3909e-05
56,813.256,0.90267,0.85701,1.22656,0.96213,0.83898,0.86155,0.65243,1.28712,1.10132,1.51411,6.89978e-05,6.89978e-05,6.89978e-05
57,827.429,0.89881,0.84994,1.22021,0.94515,0.84794,0.85875,0.65148,1.30266,1.07505,1.52107,6.42139e-05,6.42139e-05,6.42139e-05
58,845.374,0.95769,0.88935,1.24241,0.96802,0.82303,0.85678,0.65147,1.31042,1.07121,1.53266,5.95645e-05,5.95645e-05,5.95645e-05
59,858.759,0.90667,0.84921,1.209,0.9432,0.83928,0.85668,0.64992,1.30307,1.09629,1.53727,5.5057e-05,5.5057e-05,5.5057e-05
60,872.275,0.94341,0.88098,1.23544,0.94031,0.82719,0.8506,0.64955,1.31433,1.11671,1.54139,5.06981e-05,5.06981e-05,5.06981e-05
61,886.017,0.94842,0.84994,1.23185,0.95022,0.81743,0.85279,0.64975,1.33011,1.11152,1.54881,4.64946e-05,4.64946e-05,4.64946e-05
62,899.983,0.88543,0.80167,1.21094,0.93347,0.83802,0.85587,0.64749,1.322,1.10925,1.55479,4.24531e-05,4.24531e-05,4.24531e-05
63,917.479,0.92544,0.86169,1.22708,0.95253,0.8292,0.85662,0.63211,1.33371,1.09843,1.55956,3.85797e-05,3.85797e-05,3.85797e-05
64,930.877,0.91124,0.88586,1.23112,0.96072,0.82931,0.85725,0.62702,1.34994,1.10688,1.56749,3.48804e-05,3.48804e-05,3.48804e-05
65,945.045,0.88813,0.82186,1.22775,0.96095,0.82679,0.85735,0.63355,1.35297,1.10656,1.56582,3.1361e-05,3.1361e-05,3.1361e-05
66,958.332,0.92027,0.82324,1.21208,0.96169,0.84104,0.87121,0.64674,1.3476,1.11918,1.55111,2.80268e-05,2.80268e-05,2.80268e-05
67,973.468,0.89911,0.84799,1.20008,0.96739,0.84025,0.86853,0.64204,1.35411,1.13569,1.55377,2.48829e-05,2.48829e-05,2.48829e-05
68,987.305,0.86366,0.79836,1.18694,0.96641,0.84203,0.86887,0.64426,1.34064,1.12397,1.54558,2.19343e-05,2.19343e-05,2.19343e-05
69,1005.1,0.90375,0.83583,1.19565,0.95924,0.83141,0.85968,0.64143,1.31835,1.11888,1.53558,1.91855e-05,1.91855e-05,1.91855e-05
70,1018.62,0.93017,0.84177,1.2266,0.96304,0.8299,0.85988,0.65054,1.31256,1.10466,1.53826,1.66407e-05,1.66407e-05,1.66407e-05
71,1038.12,0.9047,0.80161,1.22105,0.95541,0.83407,0.86911,0.65021,1.29783,1.12402,1.52587,1.43039e-05,1.43039e-05,1.43039e-05
72,1053.56,0.89569,0.7551,1.21009,0.95886,0.80053,0.86016,0.6448,1.30237,1.12303,1.52994,1.21786e-05,1.21786e-05,1.21786e-05
73,1067.46,0.89334,0.78546,1.19028,0.94785,0.82052,0.85621,0.64498,1.30528,1.12544,1.53306,1.02681e-05,1.02681e-05,1.02681e-05
74,1085.54,0.87641,0.77735,1.20709,0.93707,0.82971,0.85449,0.64243,1.32005,1.11044,1.54376,8.5754e-06,8.5754e-06,8.5754e-06
75,1098.78,0.88631,0.77421,1.20088,0.94417,0.82083,0.8505,0.63943,1.32018,1.10554,1.54648,7.10307e-06,7.10307e-06,7.10307e-06
