epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,587.948,1.5255,1.59582,1.68167,0.56771,0.66043,0.62972,0.38233,1.75936,1.71179,1.80016,0.00446819,0.00446819,0.00446819
45,603.545,1.57486,1.62063,1.71191,0.50637,0.68343,0.56379,0.35013,1.71502,1.78309,1.81153,0.00427565,0.00427565,0.00427565
46,619.585,1.54988,1.52133,1.66583,0.68989,0.59036,0.64889,0.40509,1.66819,1.63687,1.75915,0.0040843,0.0040843,0.0040843
47,635.96,1.52193,1.58079,1.67108,0.61246,0.62243,0.6431,0.38848,1.75021,1.69863,1.83438,0.00389445,0.00389445,0.00389445
48,652.339,1.49539,1.49158,1.66511,0.66205,0.62269,0.66098,0.40755,1.62494,1.66433,1.74758,0.00370637,0.00370637,0.00370637
49,669.134,1.49367,1.46261,1.6679,0.65177,0.60232,0.6409,0.40322,1.73336,1.61669,1.79362,0.00352037,0.00352037,0.00352037
50,685.469,1.50778,1.4921,1.66648,0.61654,0.71792,0.69431,0.41206,1.63854,1.68882,1.7429,0.00333672,0.00333672,0.00333672
51,701.612,1.54639,1.59617,1.70177,0.59116,0.66216,0.63609,0.39047,1.68155,1.72431,1.78334,0.00315572,0.00315572,0.00315572
52,718.139,1.43741,1.43883,1.57452,0.84159,0.61617,0.70618,0.42115,1.64634,1.58892,1.77647,0.00297763,0.00297763,0.00297763
53,734.672,1.49632,1.46291,1.65353,0.70487,0.64052,0.68807,0.40577,1.70247,1.66836,1.79792,0.00280275,0.00280275,0.00280275
54,750.995,1.50701,1.53404,1.69684,0.73059,0.66386,0.70629,0.4438,1.66804,1.55,1.77644,0.00263132,0.00263132,0.00263132
55,767.446,1.43564,1.38767,1.57002,0.74883,0.64995,0.69415,0.45551,1.60326,1.58162,1.74139,0.00246363,0.00246363,0.00246363
56,783.708,1.41989,1.43075,1.58003,0.6224,0.70523,0.71608,0.44338,1.66207,1.54456,1.75003,0.00229993,0.00229993,0.00229993
57,800.127,1.43766,1.42516,1.63836,0.77868,0.61006,0.69879,0.44775,1.63967,1.57301,1.73994,0.00214046,0.00214046,0.00214046
58,816.398,1.39679,1.37172,1.59885,0.67365,0.70839,0.70475,0.42004,1.69708,1.51677,1.76058,0.00198548,0.00198548,0.00198548
59,832.969,1.36674,1.34889,1.58625,0.66737,0.68826,0.70439,0.45513,1.60059,1.53081,1.71299,0.00183523,0.00183523,0.00183523
60,849.976,1.42196,1.4214,1.59072,0.61501,0.69234,0.70416,0.4404,1.65006,1.56595,1.73218,0.00168994,0.00168994,0.00168994
61,866.865,1.39593,1.3747,1.56888,0.73506,0.69173,0.7249,0.4756,1.60328,1.50584,1.69578,0.00154982,0.00154982,0.00154982
62,883.463,1.44189,1.38349,1.62265,0.73349,0.70398,0.72114,0.47715,1.62054,1.52722,1.71336,0.0014151,0.0014151,0.0014151
63,900.244,1.36978,1.32951,1.54076,0.75095,0.6635,0.72026,0.46539,1.63553,1.47269,1.71073,0.00128599,0.00128599,0.00128599
64,917.351,1.30947,1.29968,1.52569,0.7582,0.71653,0.73301,0.47747,1.56818,1.48782,1.67525,0.00116268,0.00116268,0.00116268
65,934.825,1.39986,1.37411,1.60369,0.73423,0.69912,0.73951,0.47501,1.57755,1.46887,1.67532,0.00104537,0.00104537,0.00104537
66,951.862,1.37531,1.38366,1.56093,0.70441,0.68297,0.71234,0.46567,1.58685,1.46784,1.69682,0.000934225,0.000934225,0.000934225
67,968.983,1.32228,1.27479,1.52594,0.73237,0.71398,0.7259,0.47609,1.56752,1.45695,1.68786,0.000829431,0.000829431,0.000829431
68,986.767,1.33846,1.28313,1.51568,0.75667,0.69825,0.75378,0.48586,1.59578,1.48508,1.70434,0.000731145,0.000731145,0.000731145
69,1004.74,1.34459,1.30159,1.5416,0.77664,0.68638,0.74618,0.48072,1.58281,1.50682,1.70094,0.000639518,0.000639518,0.000639518
70,1022.9,1.31151,1.2562,1.53671,0.71381,0.75416,0.74645,0.49179,1.55424,1.46892,1.67989,0.000554691,0.000554691,0.000554691
71,1043.49,1.29729,1.25228,1.56658,0.74128,0.74575,0.7509,0.48681,1.55737,1.42222,1.67367,0.000476796,0.000476796,0.000476796
72,1060.45,1.29439,1.15571,1.58167,0.79627,0.69991,0.75401,0.47583,1.61003,1.42902,1.68726,0.000405953,0.000405953,0.000405953
73,1077.73,1.3265,1.20948,1.57406,0.7462,0.74591,0.75803,0.48915,1.61166,1.42577,1.68573,0.00034227,0.00034227,0.00034227
74,1094.99,1.30434,1.16246,1.56245,0.71853,0.75368,0.74601,0.48927,1.56165,1.42706,1.66838,0.000285847,0.000285847,0.000285847
75,1111.97,1.30607,1.19153,1.55401,0.74728,0.74881,0.75506,0.49911,1.55362,1.41471,1.67068,0.000236769,0.000236769,0.000236769
76,1129.21,1.26467,1.15184,1.5664,0.77357,0.70731,0.75613,0.50322,1.55179,1.4032,1.66839,0.000195113,0.000195113,0.000195113
77,1146.51,1.25431,1.13218,1.54819,0.7828,0.716,0.75556,0.50293,1.55514,1.4021,1.66819,0.000160943,0.000160943,0.000160943
78,1163.08,1.25362,1.13912,1.54384,0.74937,0.71536,0.75561,0.49815,1.55517,1.40818,1.67045,0.000134311,0.000134311,0.000134311
79,1180.19,1.33078,1.24341,1.59804,0.70905,0.72381,0.75221,0.49477,1.54536,1.4045,1.66806,0.000115259,0.000115259,0.000115259
80,1196.73,1.26785,1.11401,1.53091,0.71734,0.73119,0.75061,0.491,1.53842,1.4124,1.66182,0.000103816,0.000103816,0.000103816
